Date,Open,High,Low,Close,Volume
10/12/2016,53.09,53.189999,52.43,52.700001,577880
10/13/2016,52.389999,52.400002,51.419998,51.959999,633854
10/14/2016,52.139999,53.049999,52.060001,52.400002,604563
10/17/2016,52.27,53.049999,52.150002,52.880001,610032
10/18/2016,53.25,54.080002,53.130001,53.790001,614994
10/19/2016,53.889999,54.18,52.939999,53.060001,886260
10/20/2016,53.299999,53.52,52.93,53.48,844249
10/21/2016,53.349998,53.419998,51.959999,52.240002,1216720
10/24/2016,52.75,54.32,52.720001,53.700001,1066604
10/25/2016,53.82,53.900002,52.849998,53.709999,794500
10/26/2016,53.860001,54.110001,53.27,53.950001,807279
10/27/2016,54,55.369999,54,55.310001,1167935
10/28/2016,55.759998,55.98,54.669998,55.48,804929
10/31/2016,54.849998,55.68,54.799999,55.509998,858563
11/1/2016,55.619999,55.75,54.790001,55.040001,721301
11/2/2016,54.189999,54.560001,53.709999,54.169998,918012
11/3/2016,54.200001,55.560001,54.18,55.279999,779111
11/4/2016,54.91,54.919998,54.16,54.549999,735629
11/7/2016,55.23,55.490002,55.049999,55.130001,733886
11/8/2016,55.099998,55.869999,54.759998,55.779999,680867
11/9/2016,53.889999,58.669998,53.220001,58.419998,2294307
11/10/2016,58.810001,60.580002,58.459999,58.880001,1683421
11/11/2016,59.450001,59.900002,57.669998,58.369999,920064
11/14/2016,58.849998,59.400002,57.869999,58.380001,918160
11/15/2016,58.279999,58.799999,56.619999,56.900002,1328403
11/16/2016,56.68,56.990002,55.110001,55.150002,1394003
11/17/2016,55.299999,55.959999,53.75,55.959999,1338284
11/18/2016,56.130001,56.779999,55.509998,55.959999,1131523
11/21/2016,56.169998,56.470001,55.299999,56.220001,836393
11/22/2016,56.77,57.639999,56.349998,57.200001,861458
11/23/2016,57.450001,57.57,56.560001,57.139999,692725
11/24/2016,57.09,57.650002,56.830002,56.939999,406889
11/25/2016,57,57,56.060001,56.669998,499820
11/28/2016,56.400002,56.419998,55.400002,55.830002,524163
11/29/2016,55.650002,56.5,55.310001,55.919998,663983
11/30/2016,55.990002,56.900002,55.959999,56.580002,1082635
